taxon_no,orig_no,taxon_name,taxon_rank,orig_name,orig_rank,reference_no,in_529,inferred_reason
290900,290892,Mesoraphidia shuangyuanensis,species,Archeraphidia shuangyuanensis,species,51316,yes,recombination
291481,70110,Dimites,subfamily,Diminae,subfamily,70845,yes,spelling variant (correction/misspelling)
293032,167762,Chlamys mediacostatus,species,Pecten mediacostatus,species,32774,yes,recombination
293250,293249,Pitar (Pitar) newcombinanus,species,Circe (Lioconcha) newcombiana,species,74899,yes,unclear (multiple changes)
293251,293249,Pitar newcombinanus,species,Circe (Lioconcha) newcombiana,species,74899,yes,unclear (multiple changes)
294443,291097,Archipolypoda,order,Archipolypoda,suborder,51037,no,rank change
294514,291097,Archipolypoda,suborder,Archipolypoda,suborder,51037,yes,none (duplicate/homonym)
295372,222919,Dataiaphis,genus,Dataiphis,genus,51226,no,spelling variant (correction/misspelling)
295376,295373,Dataiaphis coniferis,species,Dataiphis coniferis,species,51226,yes,recombination
295994,181702,Zygadenia trachylaenus,species,Lupicupes trachylaenus,species,35672,yes,recombination
295996,243606,Zygadenia validus,species,Sinocupes validus,species,42533,yes,recombination
299200,299250,Gnamptorhynchos inversum,species,Platystrophia regularis globata,subspecies,11416,yes,rank change
302007,299312,Acanthothyris spinosa,species,Anomia spinosa,species,33914,yes,recombination
303083,303081,Balanus pacificus,species,Balanus concavus pacificus,subspecies,52284,no,rank change
303119,303118,Pycnolepas fimbriatus,species,Brachylepas fimbriatus,species,52290,yes,recombination
303342,303341,Floweria iowenis,species,Schuchertella iowenis,species,52328,yes,recombination
304040,304039,Neoscalpellum glauteri,species,Scalpellum (Neoscalpellum) glauerti,species,52412,yes,unclear (multiple changes)
304530,269207,Phacelostylophyllum gracile,species,Cyathophyllum gracile,species,46946,yes,recombination
304629,303574,Nematophora,order,Nematophora,order,52532,no,none (duplicate/homonym)
304775,163855,Mytilus (Modiola) subangustissima,species,Modiola subangustissima,species,32196,yes,recombination
305431,305430,Chonetoidea radiatulus,species,Chonetes radiatulus,species,50130,no,recombination
305439,305438,Kozlowskites nuntia,species,Strophomena nuntia,species,50130,yes,recombination
305923,305922,Chariocrinus andrae,species,Isocrinus andreae,species,52764,yes,unclear (multiple changes)
306060,306054,Deporaus (Caenorhinus) goergesi,species,Coenorhinus goergesi,species,52793,yes,recombination
307963,307962,Prionocheilus narinosum,species,Pharostoma narinosum,species,54559,yes,recombination
308089,85816,Eubrontes (Ichnites) euskelosauroides,species,Ichnites euskelosauroides,species,29189,yes,recombination
308090,67405,Eubrontes (Brontozoum) approximatus,species,Brontozoum approximatum,species,29189,yes,unclear (multiple changes)
308093,67401,Anchisauripus (Otouphepus) minor,species,Otouphepus minor,species,14628,yes,recombination
308095,68013,Batrachopus (Anisopus) gracilior,species,Anisopus gracilior,species,40559,yes,recombination
308096,133347,Batrachopus (Comptichnus),subgenus,Comptichnus,genus,30860,yes,rank change
308097,155316,Batrachopus (Comptichnus) obesus,species,Comptichnus obesus,species,30860,yes,recombination
308162,308161,Plectambonites schmidti,species,Leptaena schmidti,species,15712,no,recombination
308163,308161,Eoplectodonta schmidti,species,Leptaena schmidti,species,15712,yes,recombination
308554,189897,Ixodida,order,Ixodida,order,44648,yes,none (duplicate/homonym)
310464,310463,Scharyia micropygus,species,Proetus micropygus,species,53673,yes,recombination
310783,310787,Mestoronema bipatellere,species,Raphistoma bipatellare,species,11503,yes,unclear (multiple changes)
310946,310943,Aspidapion khnzoriani,species,Apion (Aspidapion) khnzoriani,species,53804,yes,recombination
310959,310961,Ambonychia radiata,species,Byssonychia radiata,species,6344,no,recombination
311315,311314,Spirifera pinyonensis,species,Spirifer (Trigonotreta) pinonensis,species,16407,yes,unclear (multiple changes)
311536,311535,Glossella puleherrima,species,Lingulasma pulcherrimum,species,49558,yes,unclear (multiple changes)
311996,311994,Metacamarella balcletchiensis,species,Stricklandinia balclatchiensis,species,52470,yes,unclear (multiple changes)
312169,312168,Buprestis cuprostriata,species,Buprestis (Cypriacis) cupreostriata,species,53989,yes,unclear (multiple changes)
313353,313352,Cymatoceras tskalsithelense,species,Nautilus tskaltsithelensis,species,54147,yes,unclear (multiple changes)
314103,314102,Pseudobasilicus lata,species,Niobe lata,species,54236,yes,recombination
314373,43599,Encholoeops,genus,Eucholoeops,genus,54112,no,spelling variant (correction/misspelling)
314924,314923,Eurotetralia loerenthey,species,Trapezia loerentheyi,species,54338,yes,unclear (multiple changes)
315985,315983,Stereotoechus spiniferus,species,Leptotrypa spinifera,species,54520,no,unclear (multiple changes)
316044,299061,Syngastrioceras globosus,species,Eoasianites globosus,species,54435,yes,recombination
317462,204648,Proscopioidea,infraorder,Proscopiidea,infraorder,68295,no,spelling variant (correction/misspelling)
317463,220005,Episactidae,subfamily,Episacti,subfamily,70587,yes,spelling variant (correction/misspelling)
319834,44619,Thinohyus (Bothriolabis),subgenus,Bothrolabis,genus,53735,yes,rank change
320063,320062,Spermophagina,tribe,Spermophagini,tribe,68965,yes,spelling variant (correction/misspelling)
320848,296846,Palaeogyrinus decorum,species,Palaeogyrinus decorus,species,51608,yes,unclear (multiple changes)
322494,322493,Microdactylites attenuatus,species,Ammonites attenuatus,species,55563,yes,recombination
322988,322987,Lytoceras liebigi,species,Holcostephanus (Spiticeras) obliquelobatus,species,61119,yes,unclear (multiple changes)
323267,323266,Gervillia alaeformis,species,Modiola alaeformis,species,36012,yes,recombination
323772,323771,Nautilus izumoensis,species,Eutrephoceras izumoensis,species,59661,yes,recombination
324481,324480,Orbignyiceras pseudopunctatum,species,Harpoceras pseudopunctatum,species,55781,yes,recombination
324483,324482,Orbignyiceras paulowi,species,Hecticoceras paulowi,species,55781,yes,recombination
324485,324484,Orbignyiceras regulare,species,Hecticoceras regulare,species,55781,yes,recombination
324487,324486,Orbignyiceras kiliani,species,Hecticoceras kiliani,species,55781,yes,recombination
324738,324737,Peltoceratoides incostans,species,Peltoceras inconstans,species,55781,yes,unclear (multiple changes)
326794,326793,Werneroceras (Crispoceras) crispus,species,Goniatites crispus,species,56082,yes,recombination
327364,74392,Cyrtostropha subulata,species,Loxonema subulata,species,15555,yes,recombination
327809,70467,Teredidae,subfamily,Teredinae,subfamily,83074,no,spelling variant (correction/misspelling)
328183,37831,Pleurosauridae,subfamily,Pleurosauridae,family,43396,no,rank change
328332,328317,Mantes,genus,Gryllus (Mantis),subgenus,12782,yes,rank change
328382,85411,Ptychagnostus (Acidusus) acidusus,species,Agnostus atavus,species,56323,yes,unclear (multiple changes)
329172,70754,Lepturetae,subfamily,Lepturinae,subfamily,12074,no,spelling variant (correction/misspelling)
329194,328719,Grylliae,family,Grylloides,family,56377,no,spelling variant (correction/misspelling)
329210,319710,Diplolepariae,family,Diplolepidini,tribe,12074,no,rank change
329267,69379,Dermestini,family,Dermestidae,family,56516,yes,spelling variant (correction/misspelling)
329269,69301,Lucanides,family,Lucanidae,family,56516,no,spelling variant (correction/misspelling)
329562,8828,Turbo (Gibbula),subgenus,Gibbula,genus,56582,no,rank change
330590,330572,Exochoidae,subfamily,Exochoidae,family,56748,yes,rank change
331372,331367,Tropidostoma dubius,species,Dicynodon dubius,species,29040,yes,recombination
331549,331547,Dalmanitina (Eodalmanitina) macrophtalma,species,Calymene macrophtalma,species,56963,yes,recombination
333083,168002,Gnidiella gnidia,species,Venus gnidia,species,41911,yes,recombination
333119,63476,Shiriyanetta goedertorum,species,Chonecetus goedertorum,species,12130,yes,recombination
333131,333130,Leukoma lacinata,species,Tapes laciniata,species,41911,yes,unclear (multiple changes)
333402,129391,Neophlycticeras brottianum,species,Ammonites brottianus,species,36067,no,unclear (multiple changes)
333828,333827,Planammatoceras (Pseudammatoceras) beneri,species,Hammatoceras benneri,species,57456,yes,unclear (multiple changes)
334090,153525,Coelocatiniidae,family,Catiniidae,family,8450,yes,spelling variant (correction/misspelling)
334259,334258,Parkinsonia parkinsonia,species,Ammonites parkinsoni,species,57564,no,unclear (multiple changes)
335677,335550,Dendragapus gillii,species,Palaeotetrix gillii,species,57864,yes,recombination
335981,331349,Rhynchites (Tshernyshevinius) auratus,species,Curculio auratus,species,56299,no,recombination
336505,336504,Pustulariopsis pustulifera,species,Cypraea pustulifera,species,58051,yes,recombination
336826,212058,Bryopompilidae,tribe,Bryopompilini,tribe,39086,no,spelling variant (correction/misspelling)
336942,66085,Tibia (Africoterebellum) elongata,species,Semiterebellum elongatum,species,13646,yes,unclear (multiple changes)
339172,339171,Praerosaria inflatus,species,Cypraeacites inflatus,species,57817,yes,recombination
339406,339405,Gyrodes (Sohlella) expansa,species,Gyrodes expansa,species,11856,yes,reassignment (subgenus)
339749,264127,Dicynodon scopulosa,species,Kunpania scopulusa,species,46017,yes,unclear (multiple changes)
340860,340859,Neosimnia passerinalis,species,Ovula passerinalis,species,59160,yes,recombination
341158,341157,Metatissotia silzewiczi,species,Buchiceras slizewiczi,species,59212,yes,unclear (multiple changes)
342309,342296,Transovula (Oxycypraea) symmetrcia,species,Ovula symmetrcia,species,18227,yes,recombination
342512,342509,Lachryma (Proterato) pukeuriensi,species,Erato pukeuriensis,species,58357,yes,unclear (multiple changes)
342807,342802,Siphocypraea (Muracypraea) pennai,species,Cypraeactaeon pennae,species,43452,yes,unclear (multiple changes)
342939,342283,Cypraea sublynchoides,species,Cypraea sublyncoides,species,59230,no,unclear (multiple changes)
343391,343390,Palimphyes longus,species,Clupea elongata,species,59519,yes,unclear (multiple changes)
343553,343552,Paratollia ernslandensis,species,Polyptychites (Propolyptychites) emslandensis,species,29466,yes,unclear (multiple changes)
344053,344052,Anenchelum angustus,species,Lepidopus angustus,species,59519,yes,recombination
345025,16281,Grammatodon (Nordenskjoeldia),subgenus,Nordenskjoldia,genus,6930,no,rank change
345027,345026,Grammatodon (Nordenskjoeldia) besairiei,species,Nordenskjoldia besairiei,species,59807,yes,recombination
345246,93985,Colodon fissum,species,Desmatotherium fissum,species,1332,yes,recombination
346281,329135,Staphylini,family,Staphyliniae,family,12074,no,spelling variant (correction/misspelling)
348394,348393,Kayentapus wimanensis,species,Zizhongpus wumaensis,species,61166,yes,unclear (multiple changes)
352072,352071,Saracenaria acutiauriculatus,species,Nautilus acutauricularis,species,62136,yes,unclear (multiple changes)
352525,352522,Meretrix (Callista) pittsburgensis,species,Callista pittsburgensis,species,65963,yes,recombination
353103,298636,Brachyprion geniculata,species,Brachyprion geniculatum,species,6949,yes,unclear (multiple changes)
353814,353813,Xenodolamia eocaenus,species,Carcharias (Scoliodon) eocaenus,species,62336,yes,recombination
355580,263567,Bolcaichthys catopygoptera,species,Clupea catopygoptera,species,45833,yes,recombination
355657,355656,Onychoplecia longirostra,species,Camarella longirostra,species,15755,yes,recombination
355722,32013,Hybocrinida,suborder,Hybocrinida,order,62474,yes,rank change
355723,94456,Flexibilia,suborder,Flexibilia,subclass,62474,no,rank change
355928,61523,Lopha (Arctostrea) falcata,species,Ostrea falcata,species,62476,no,recombination
357564,357563,Sphaeroceras brongnarti,species,Ammonites brongniartii,species,62781,yes,unclear (multiple changes)
357720,357338,Siemiradzkia (Prevalia) verciacensis,species,Perisphinctes (Grossouvria) verciacensis,species,62775,yes,recombination
357827,357826,Parkinsonia rectangularis,species,Parkinsonia eimensis rectangularis,subspecies,62781,yes,rank change
357829,357828,Parkinsonia crassum,species,Parkinsonia depressa crassa,subspecies,62781,yes,rank change
358416,64093,Otozoum lineatum,species,Otozoum lineatus,species,62983,yes,unclear (multiple changes)
358752,210579,Triadomerini,subfamily,Triadomerinae,subfamily,5834,no,spelling variant (correction/misspelling)
359032,359031,Lichas verrucosus,species,Metopias verrucosus,species,63139,yes,recombination
359514,359430,Amphilichas norvegicus,species,Lichas norvegicus,species,49901,yes,recombination
360215,359975,Autoloxolichas santamathiae,species,Lichas stmathiae,species,63281,yes,unclear (multiple changes)
360216,359975,Platylichas santaemathiasae,species,Lichas stmathiae,species,63281,yes,unclear (multiple changes)
361989,96504,Nyctosaurinae,family,Nyctosauridae,subfamily,31519,yes,rank change
362183,121082,Ancillariinae,subfamily,Ancillariinae,subfamily,63598,yes,none (duplicate/homonym)
362533,321007,Rhinosauriscus jasykovi,species,Rhinosaurus jasykovii,species,55402,yes,unclear (multiple changes)
362939,362937,Wetlugosaurus volgensis,species,Capitosaurus volgensis,species,7854,yes,recombination
363860,363727,Elliptocephalus mirabilis,species,Holmia mirabilis,species,63963,yes,recombination
364330,105267,Geochelone gallardoi,species,Testudo gallardoi,species,63683,yes,recombination
364410,364409,Propalaeohoplophorus australis,species,Hoplophorus australis,species,15092,yes,recombination
364564,360985,Chrysemys wyomingensis,species,Emys wyomingensis,species,30725,yes,recombination
364724,244602,Haydenella anqingensis,species,Planihaydenella anqingensis,species,32358,yes,recombination
365300,360985,Dermatemys wyomingensis,species,Emys wyomingensis,species,30725,yes,recombination
365307,360985,Emys vyomingensis,species,Emys wyomingensis,species,30725,yes,unclear (multiple changes)
366346,268231,Aphrodina major,species,Cucullaea bowersiana,species,68268,yes,unclear (multiple changes)
366351,366349,Spisula ashburnerii,species,Mactra ashburnerii,species,64770,yes,recombination
366353,366352,Spisula gabbiana,species,Mactra gabbiana,species,64770,yes,recombination
367642,276198,Thelyphonida,order,Thelyphonida,order,65098,no,none (duplicate/homonym)
367988,367987,Mayiella (Xishuiella),subgenus,Xishuiella,genus,10294,yes,rank change
368874,368873,Taramelliceras (Proscaphites) denticulata,species,Oecotraustes denticulata,species,75134,yes,recombination
368948,368946,Glycimeris veatchii,species,Axinaea veatchii,species,59878,no,recombination
369055,351974,Dentalium cooperii,species,Dentalium cooperi,species,59878,no,unclear (multiple changes)
369847,172900,Oligocorax mediterraneus,species,Phalacrocorax mediterraneus,species,57738,yes,recombination
372716,149471,Holocrinida,family,Holocrinidae,family,62474,no,spelling variant (correction/misspelling)
373023,170559,Pistosauroidea,infraorder,Pistosauroidea,suborder,33405,no,rank change
374411,67865,Amebelodontidae,subfamily,Amebelodontinae,subfamily,987,no,spelling variant (correction/misspelling)
375660,375659,Olenellus (Mesolenellus) hyperborea,species,Holmia hyperborea,species,66700,yes,recombination
377221,377220,Voluta elongata,species,Volutoderma elongatum,species,58996,no,unclear (multiple changes)
