taxon_no,orig_no,taxon_name,taxon_rank,orig_name,orig_rank,reference_no,in_529,inferred_reason
407691,407690,Dictozamites falcatus,species,Dictyopteris falcata,species,71641,yes,unclear (multiple changes)
408220,408219,Dechenella alpenesis,species,Dechenella (Dechenella) alpenesis,species,51874,yes,reassignment (subgenus)
408807,408343,Charniodiscus yorgenesis,species,Charniodiscus yorgensis,species,71745,yes,unclear (multiple changes)
409430,90147,Cancellaria (Calcarata) wynoochensis,species,Cancellaria wynootchensis,species,30891,yes,unclear (multiple changes)
409444,409445,Cancellaria (Cancellaria) cooperi,species,Cancellaria (Narona) cooperi,species,74899,yes,spelling variant (correction/misspelling)
409695,225233,Lobonotus granosa,species,Eohalimede granosa,species,47477,yes,recombination
410080,410079,Kodmogyrina andreanszkyi,species,Chara andreanszkyi,species,71641,yes,recombination
411506,224930,Podopthalminae,subfamily,Podophthalmidae,family,71613,yes,rank change
412062,178264,Triarthrus caecigena,species,Triarthrus caecigenus,species,71896,no,unclear (multiple changes)
412241,11745,Mangelia (Taranis),subgenus,Taranis,genus,71769,yes,rank change
412270,412268,Glyptaesopus oldroydi,species,Columbella (Aesopus) oldroydi,species,71769,no,recombination
412821,412817,Crassispira semiinflata,species,Pseudomelatoma penicillata semiinflata,subspecies,63217,yes,rank change
412831,412828,Chlorostoma funebralis,species,Chlorostoma funebrale,species,63217,yes,unclear (multiple changes)
414011,11691,Pleurotoma (Spirotropsis),subgenus,Spirotropis,genus,71769,no,rank change
416826,309849,Spathognathodus inclinatus,species,Prioniodella inclinata,species,59751,yes,unclear (multiple changes)
418303,54617,Laurocarpum (Cinnamomum),subgenus,Cinnamomum,genus,6528,yes,rank change
419545,419539,Triacanthodoidea,superfamily,Triacanthoidea,superfamily,45151,no,spelling variant (correction/misspelling)
419939,304009,Cretiscalpellidae,subfamily,Cretiscalpellinae,subfamily,52412,no,spelling variant (correction/misspelling)
420664,397281,Aglaspidida,subclass,Aglaspidida,order,14973,no,rank change
421179,421178,Portlandia packardi,species,Malletia packardi,species,63217,yes,recombination
421911,98173,Anadara strongi,species,Arca (Barbatia) strongi,species,23850,yes,recombination
422249,383390,Ficopsis cooperi,species,Fusus (Hemifusus) cooperii,species,59878,yes,unclear (multiple changes)
422407,82240,Globoconella puncticulata,species,Globigerina puncticulata,species,90657,yes,recombination
422563,402297,Tornatellaea impressus,species,Actaeon impressus,species,59878,yes,recombination
422584,402420,Lembulus translucida,species,Leda translucida,species,59878,yes,recombination
422743,379673,Lucina (Claibornites) rotunda,species,Lucina rotunda,species,72907,yes,reassignment (subgenus)
423106,423104,Athabaskia belus,species,Bathyuriscus belus,species,51252,yes,recombination
424445,384112,Reptantia,suborder,Reptantia,suborder,73388,no,none (duplicate/homonym)
426747,426748,Lunulites pseudocretacea,species,Lunulites cretacea,species,73862,yes,unclear (multiple changes)
428264,404234,Perissitys cretaceum,species,Sistrum (Ricinula) cretaceum,species,71549,yes,recombination
428945,351732,Exiteloceras vancouverensis,species,Hamites vancouverensis,species,59878,yes,recombination
430583,358952,Cyphaspis dabrown,species,Otarion (Otarion) dabrowni,species,63124,yes,unclear (multiple changes)
430881,429827,Koenigiella alleganiensis,species,Belinurus alleganyensis,species,74720,yes,unclear (multiple changes)
431396,431395,Heterodontus paucicarinata,species,Heterodontobatis paucicarinata,species,52687,yes,recombination
432704,47766,Lophiotherium pygmaeus,species,Lophiotherium pygmaeum,species,82946,yes,unclear (multiple changes)
433306,428833,Acirsa obsuta,species,Mesalia obsuta,species,74377,yes,recombination
433762,433760,Phillibole latipalpebrata,species,Phillibole drewerensis latipalpebrata,subspecies,75772,yes,rank change
435063,435062,Diaphus biatlanticus,species,Diaphus angulatus,species,78204,yes,unclear (multiple changes)
435553,435552,Gnathophis umbrellabia,species,Fimbriceps umbrellabia,species,76272,yes,recombination
438660,39473,Bathornithinae,family,Bathornithidae,family,77097,no,spelling variant (correction/misspelling)
438822,438821,Conopeum okaianum,species,Membranipora okaiana,species,77144,yes,unclear (multiple changes)
442304,442277,Myctophum mediterraneum,species,Berycidarum mediterraneus,species,78178,yes,unclear (multiple changes)
442593,412269,Mangelia oldroydi,species,Mangilia oldroydi,species,71769,yes,recombination
442611,398939,Ivara terricula,species,Odostomia (Ivara) amava,species,70816,no,unclear (multiple changes)
442617,442616,Longchaeus mexicana,species,Turbonilla mexicana,species,78337,yes,recombination
442898,442897,Bittium (Semibittium) quadrifiliatum,species,Bittium quadrifilatum,species,78354,yes,unclear (multiple changes)
442933,422527,Murex (Pterorhytis) monoceros,species,Murex monoceros,species,71769,yes,reassignment (subgenus)
442965,433863,Trophon (Boreotrophon) tenuisculptus,species,Trophon tenuisculptus,species,75792,yes,reassignment (subgenus)
443711,443710,Lampanyctus microsombs,species,Myctophum microsoma,species,62554,yes,unclear (multiple changes)
444759,333130,Tapes lacinatus,species,Tapes laciniata,species,41911,yes,unclear (multiple changes)
445453,408375,Tectura depicta,species,Patelloida depicta,species,78337,yes,recombination
445567,445565,Sulcocephalus candida,species,Talbotina candida,species,31418,yes,recombination
445719,67352,Batrachia,subclass,Batrachia,class,16226,yes,rank change
452971,369965,Dictyophyllum lobata,species,Fremontia lobata,species,65602,no,recombination
456630,364695,Atelecrinoidea,family,Atelecrinidae,family,66461,no,spelling variant (correction/misspelling)
456858,456857,Archaeometra asper,species,Solanocrinus asper,species,66461,yes,recombination
458416,4690,Jyxilla,genus,Jixiella,genus,6930,yes,spelling variant (correction/misspelling)
458423,215404,Liogaster ornata,species,Aphthartus ornatus,species,81858,no,unclear (multiple changes)
458742,20207,Telaemarrolithus,genus,Telaeomarrolithus,genus,6930,yes,spelling variant (correction/misspelling)
459416,219535,Paragalathea striata,species,Galathea striata,species,39024,yes,recombination
459928,459927,Momipites kedvesi,species,Triatriopollenites kedvesi,species,81720,yes,recombination
460632,220771,Distefania sergipensis,species,Cyclothyreus sergipensis,species,39024,yes,recombination
460979,460978,Spirifer (Trigonotreta) strigosa,species,Spirifera strigosa,species,82259,yes,recombination
461991,304099,Saltasaurini,unranked clade,Saltasaurini,tribe,82599,yes,rank change
464129,314327,Trigonarca (Costelliarca) trinchinopolitensis,species,Arca trinchinopolitensis,species,54270,yes,recombination
467556,467555,Lioharpes (Fritchaspis) crassimarqo,species,Fritchaspis crassimarqo,species,54179,yes,recombination
470140,444055,Protoviverrops intermedium,species,Protictitherium intermedium,species,84197,yes,recombination
471442,471441,Tainoceras subglobosa,species,Tainoceras noetlingi subglobosa,subspecies,27637,yes,rank change
471736,204497,Warthia bifrons,species,Stachella bifrons,species,16403,yes,recombination
472552,472551,Productella shumardianus,species,Productus shumardianus,species,50204,yes,recombination
473116,174690,Pliomera barrandei,species,Amphion barrandei,species,84886,yes,recombination
474960,344977,Hegaratella calisto,species,Ammonites calisto,species,88080,yes,recombination
477355,477354,Bythoceratina rocana,species,Bythocythere rocana,species,74039,yes,recombination
480779,268307,Cypridopsis tasmanica,species,Cythere tasmanica,species,46870,yes,recombination
483997,16900,Propeamussiium (Parvamussium),subgenus,Parvamussium,genus,87556,no,rank change
487493,487492,Aspidoceras sesquinodosus,species,Ammonites sesquinodosus,species,88063,no,recombination
488463,488461,Dimorphinites (Vigoriceras) defrancii,species,Ammonites defrancii,species,87709,yes,recombination
494832,494831,Globigerinoides altiapertura,species,Globigerina triloba altiapertura,subspecies,88892,yes,rank change
499275,126317,Productus (Paramarginifera) kiangsiensis,species,Productus kiangsiensis,species,44371,no,reassignment (subgenus)
499833,321326,Gantarostraspis,genus,Gantarostrataspis,genus,89629,no,spelling variant (correction/misspelling)
504618,189832,Isotelus obtususm,species,Asaphus obtusus,species,11619,yes,unclear (multiple changes)
505411,14505,Ammonoida,order,Ammonoidea,order,87757,no,spelling variant (correction/misspelling)
506789,84931,Ammonoida,superorder,Ammonitida,order,87757,no,rank change
507453,422283,Globigerinita unicavus,species,Catapsydrax unicavus,species,89091,yes,recombination
509578,211338,Palaeobenthesicymus arambourgi,species,Penaeus arambourgi,species,92275,yes,recombination
511126,332623,Eutrephoceras hendersoni,species,Nautilus hendersoni,species,21196,yes,recombination
511801,92073,Acanthopterygii,superorder,Acanthopterygii,superorder,61628,yes,none (duplicate/homonym)
516997,156647,Hypolophinae,family,Hypolophidae,family,93702,no,spelling variant (correction/misspelling)
